customer_id,segment_name,recency_days,frequency_180d,monetary_180d,ticket_count_90d,return_rate_180d,sessions_30d,campaign_clicks_30d,avg_discount_pct_180d
CUST00001,Dormant Customers,107,1,362.73,0,0.0,1,0,0.23
CUST00002,Dormant Customers,40,1,581.0,1,0.0,8,0,0.23
CUST00003,Dormant Customers,171,1,649.98,0,0.0,1,0,0.47
CUST00004,Dormant Customers,131,1,1604.04,0,0.0,1,0,0.16
CUST00005,Champions,38,3,1781.9,0,0.0,18,1,0.48
CUST00006,Loyal Customers,51,4,2989.58,2,0.25,2,0,0.38
CUST00007,New Customers,3,1,719.33,0,0.0,11,3,0.18
CUST00008,Loyal Customers,47,3,2449.11,0,0.0,2,0,0.217
CUST00009,Dormant Customers,31,1,376.85,0,0.0,11,0,0.49
CUST00010,New Customers,9,1,636.8,0,0.0,13,0,0.45
CUST00011,New Customers,1,1,508.08,0,0.0,10,0,0.14
CUST00012,Dormant Customers,50,1,978.88,0,0.0,3,0,0.31
CUST00013,Loyal Customers,61,3,1754.44,0,0.0,4,0,0.23
CUST00014,Dormant Customers,51,2,1382.39,0,0.0,11,0,0.145
CUST00015,Dormant Customers,35,2,1523.14,0,0.0,6,0,0.285
CUST00016,Dormant Customers,215,0,0.0,0,0.0,2,1,0.0
CUST00017,Dormant Customers,286,0,0.0,0,0.0,4,4,0.0
CUST00018,Dormant Customers,111,1,329.21,0,0.0,3,2,0.36
CUST00019,Dormant Customers,9,2,1598.93,0,0.0,5,1,0.105
CUST00020,Dormant Customers,368,0,0.0,0,0.0,0,0,0.0
CUST00021,Dormant Customers,77,2,1059.3,1,0.0,3,0,0.435
CUST00022,New Customers,29,1,454.06,0,0.0,10,1,0.31
CUST00023,New Customers,21,1,400.98,0,0.0,3,1,0.25
CUST00024,New Customers,4,1,481.35,0,0.0,13,0,0.34
CUST00025,Dormant Customers,165,1,517.97,0,0.0,11,1,0.38
CUST00026,Loyal Customers,72,3,3561.39,1,0.333,14,0,0.163
CUST00027,High Value But Unhappy,70,1,2128.34,1,1.0,11,2,0.3
CUST00028,Dormant Customers,83,1,641.83,0,0.0,1,0,0.11
CUST00029,Champions,18,3,1382.04,0,0.0,1,0,0.2
CUST00030,Champions,5,5,2819.98,2,0.0,11,0,0.362
CUST00031,Dormant Customers,49,1,672.95,0,0.0,6,0,0.24
CUST00032,Dormant Customers,33,1,694.18,0,0.0,12,0,0.32
CUST00033,Champions,12,3,1877.69,1,0.333,7,0,0.403
CUST00034,Dormant Customers,50,2,1460.21,1,0.0,7,2,0.185
CUST00035,Dormant Customers,127,1,779.74,0,0.0,6,0,0.12
CUST00036,Champions,27,4,1737.33,1,0.25,0,0,0.365
CUST00037,Dormant Customers,102,1,435.83,0,0.0,5,0,0.43
CUST00038,Loyal Customers,51,3,1955.61,1,0.0,5,0,0.317
CUST00039,Dormant Customers,15,2,1173.55,0,0.0,6,1,0.21
CUST00040,Dormant Customers,154,1,634.73,0,0.0,1,0,0.38
CUST00041,Dormant Customers,54,1,366.99,0,0.0,5,2,0.44
CUST00042,Loyal Customers,87,5,4306.0,2,0.0,3,2,0.2
CUST00043,New Customers,24,1,363.01,0,0.0,3,0,0.43
CUST00044,Dormant Customers,72,1,899.51,0,0.0,6,2,0.29
CUST00045,Dormant Customers,96,1,413.75,0,0.0,6,1,0.33
CUST00046,Dormant Customers,127,1,489.87,0,0.0,7,0,0.13
CUST00047,Dormant Customers,204,0,0.0,0,0.0,2,1,0.0
CUST00048,Loyal Customers,61,4,2450.45,0,0.25,12,0,0.312
CUST00049,New Customers,8,1,380.83,0,0.0,4,1,0.47
CUST00050,High Value But Unhappy,0,2,2026.54,0,0.5,3,1,0.3
CUST00051,Dormant Customers,210,0,0.0,0,0.0,6,2,0.0
CUST00052,Dormant Customers,55,2,1820.53,0,0.0,7,0,0.19
